Patrones: Ejemplo Chevere para entrenar la DMNN
Salidas: Rojizo, Azuladito, Purpuroso
60.89653,70.218136,0
23.23903,79.104959,2
9.986512,4.065578,0
66.044157,37.739518,1
25.433115,9.505247,1
55.431474,80.943305,2
23.962323,70.030962,2
30.701046,80.854041,2
23.411214,41.748092,0
28.785484,15.846061,1
13.9341,18.64439,0
90.724718,45.881917,2
50.304399,72.439393,2
82.03005,42.24638,2
20.00865,46.761505,2
87.83096,33.711995,1
31.578386,76.029382,2
79.706277,18.534015,1
6.038174,15.073595,0
99.946391,46.655272,2
8.545643,8.414193,0
36.972871,4.734797,2
31.220191,55.258068,0
30.152182,14.505134,1
88.075857,58.068767,2
61.222076,13.299573,0
17.276504,50.591906,2
70.917135,24.793544,1
46.378617,76.273631,2
46.460095,97.16041,0
95.639927,7.097331,1
73.741432,58.401465,1
62.929121,23.466557,1
29.638273,59.513884,0
14.504771,82.572882,2
13.567373,35.397541,0
77.319436,74.643719,2
31.978104,78.79034,2
63.701196,71.710873,0
55.396298,23.209784,0
14.943202,60.405656,2
31.854361,66.34273,0
46.280518,79.279369,0
96.376913,29.663703,2
93.431159,22.235024,1
32.360115,49.386997,0
50.709249,96.762475,0
31.702792,30.484713,0
39.421132,44.793001,1
52.284028,100.000004,0
36.360629,48.21945,1
94.992097,5.018472,1
72.414798,74.42855,2
98.497366,28.27743,2
51.182843,33.439663,0
33.901992,3.893048,2
28.99687,78.688763,2
48.808983,81.075476,0
60.958712,42.782312,1
57.096102,27.300649,0
26.539879,22.167831,1
77.595781,77.55957,2
41.850639,36.974381,0
18.869759,47.174398,2
51.681862,34.838339,1
70.185428,86.696332,0
67.645879,22.743645,1
16.314966,15.189477,0
48.928646,47.834589,1
98.891425,40.724002,2
30.205537,72.265907,2
87.215947,24.308137,1
61.715265,91.07825,0
56.666203,14.131601,0
80.168644,71.472319,2
51.735202,13.682223,0
22.681643,17.975845,1
69.690724,83.988942,0
77.349113,13.584291,1
82.298763,72.646426,2
48.067196,81.065542,2
64.305932,91.760834,0
20.76915,80.056,2
91.267879,18.704896,1
39.495122,33.401914,0
87.466326,51.93739,2
82.596153,73.856704,2
54.141335,15.749292,0
21.869595,49.075175,2
66.044157,18.869759,0
57.144856,8.537183,1
7.819794,55.236928,2
26.145736,51.643277,0
39.812456,52.422773,1
32.725309,81.52887,0
90.478905,23.041497,1
64.70729,74.16447,0
87.566622,57.182029,2
32.76307,70.583929,2
66.827209,4.251235,1
81.273589,26.492277,1
52.677251,78.040009,2
27.878992,17.131992,1
66.753939,22.188238,0
62.153104,12.111224,1
68.449327,18.607361,0
86.483384,60.243048,2
52.806728,94.595553,0
70.167219,48.483453,1
18.034125,88.223013,2
55.509386,45.759494,1
90.254608,37.313967,1
18.237456,63.433234,2
75.580589,78.016984,2
61.896012,32.876885,1
77.872694,38.066381,1
35.770623,61.160857,1
51.223296,95.680692,0
62.018887,30.748353,0
89.553591,6.318637,1
35.122901,6.603943,2
24.161176,43.035262,0
35.130347,41.123617,0
33.825136,70.597347,0
7.709895,51.137757,2
86.910768,50.837195,2
79.916307,61.567019,2
9.43488,9.43488,0
65.338458,73.183639,0
80.707054,14.401416,1
14.769252,37.353415,0
17.373694,76.441116,2
94.348795,28.304639,2
50.956117,35.924022,1
70.980842,90.856645,0
26.769898,50.71549,0
20.170563,20.418608,0
64.908524,39.205657,1
29.023156,32.323193,0
16.964486,48.082297,2
72.310371,40.648326,1
74.274057,61.029961,1
43.519851,44.623261,1
51.247363,96.122213,0
80.623754,32.436899,1
60.716391,51.121704,2
56.609277,37.739518,1
82.110514,61.907067,2
25.610525,13.262848,1
51.755809,70.609885,2
98.444619,13.585657,1
17.396367,65.494076,2
34.154407,48.775378,1
89.351775,51.181387,2
32.506927,57.053428,1
84.913916,75.479036,2
93.686475,10.873306,1
42.19346,68.070432,1
33.94244,61.887818,1
33.41397,49.735462,1
37.798942,70.432819,0
54.368605,93.275825,0
25.343783,51.024645,0
85.190351,72.716215,2
56.609277,9.43488,1
65.315049,94.678307,0
64.856221,15.401484,0
26.147273,62.098093,0
27.930579,71.537497,0
17.373091,88.43294,2
67.061129,87.344068,0
69.794587,5.622875,1
43.433405,33.112951,0
98.75799,42.664344,2
81.641428,42.739379,1
77.175144,20.177739,1
62.13401,79.343361,0
18.226057,72.223643,2
13.915851,14.456196,0
16.086302,75.204194,2
68.664281,14.779222,1
85.526913,43.329213,2
48.980062,94.20391,0
72.61769,51.206078,1
61.595851,67.447039,2
14.025359,40.50699,0
70.036773,88.470847,0
13.54654,74.438097,2
24.838852,61.010223,0
64.141921,53.481071,2
51.316519,47.99581,1
60.768263,7.14604,1
32.968,41.802597,0
98.481788,52.532328,2
95.632997,34.517609,2
58.105801,44.065811,1
70.95498,32.540504,1
64.852572,26.481252,1
35.464677,89.810516,0
52.06089,90.498021,0
28.144703,45.582077,0
52.112286,78.382936,2
60.507388,34.648473,1
48.123597,95.804649,0
7.996042,57.052204,2
20.623363,79.33147,2
85.649323,47.537337,2
79.492475,41.456061,1
41.956975,74.121084,0
42.913838,43.434956,1
92.080171,23.762439,2
49.934916,70.107493,2
13.179349,6.519333,0
52.40704,4.647852,1
54.230546,22.850292,0
52.087058,31.469767,0
80.176908,52.79198,1
78.044737,40.409452,1
36.443536,74.77061,0
40.836283,90.103435,0
46.63732,92.905123,0
63.024524,13.421892,1
80.120702,71.138606,2
99.233455,35.553358,2
83.344479,32.672715,1
94.464356,15.348171,1
90.308022,13.349629,1
59.202598,44.718434,1
80.648256,75.87569,2
37.513018,13.095497,2
84.913916,37.739518,1
75.479036,47.174398,1
56.541868,35.847644,1
27.919194,7.350838,1
29.84326,63.002647,0
77.112357,52.884493,1
71.048883,84.736395,0
84.913916,56.609277,2
61.978543,63.247337,2
61.252977,65.210799,2
42.096059,70.580833,1
34.290443,67.306716,1
37.739518,56.609277,1
80.716387,24.756247,1
32.539253,13.273793,1
29.962273,13.058874,1
80.377142,49.220624,1
44.939862,25.169574,0
95.9667,18.167808,1
32.203049,72.846398,0
83.669292,89.999969,2
89.200129,58.936073,2
65.32716,70.710222,2
75.479036,56.609277,1
92.189485,31.219342,2
62.104953,76.81243,0
62.770917,68.745949,2
65.419878,70.199514,2
71.259427,43.336181,1
60.986312,53.084495,2
27.828852,13.332309,1
55.020793,49.126485,1
66.080182,21.133945,0
23.842102,23.070628,1
65.037969,70.064003,0
55.486809,8.315756,1
61.837058,90.309577,0
74.577433,44.308862,1
71.018066,83.852376,0
54.284691,43.239472,1
9.451588,54.982834,2
60.855156,27.55813,1
84.652756,38.424289,1
27.849336,65.027878,0
20.542837,18.359074,0
9.43488,56.609277,2
35.647514,38.758223,0
48.305806,97.799061,0
37.739518,75.479036,0
85.543416,91.073182,2
41.272331,11.165897,2
84.082441,82.572909,2
68.333187,4.253679,1
39.756337,52.628609,1
95.656704,13.473096,1
15.479286,35.851868,0
94.371891,26.961203,2
75.866417,55.204104,1
28.304639,28.304639,0
81.770351,56.938797,2
56.609277,75.479036,2
17.23148,39.772341,0
58.554529,7.376903,1
83.606383,33.04965,1
26.854261,68.656972,0
23.691816,23.932772,0
58.608434,98.677204,0
38.405503,81.707026,0
11.648093,13.971071,0
57.896347,96.51839,0
51.485319,10.11181,1
63.676995,98.840218,0
51.919942,96.571134,0
68.207069,87.013585,0
39.301806,72.5409,0
7.662768,52.529707,2
52.133967,14.201592,0
62.544525,71.237708,0
24.84252,4.88213,1
65.710141,65.118882,2
55.670157,14.415582,0
9.796518,7.073632,0
34.171617,80.365682,0
66.044157,28.304639,1
28.304639,75.479036,2
57.527205,19.980916,0
37.349543,38.728079,0
13.534374,13.627548,0
76.625288,21.257027,1
36.586843,68.302326,1
14.425794,54.55176,2
66.387215,18.855911,0
66.787616,72.337435,0
48.50363,89.233685,0
96.452177,22.124187,1
70.856289,35.57827,1
87.622818,89.73492,2
39.487746,57.067141,1
50.76445,25.727271,0
14.82928,51.521608,2
40.669883,75.648737,0
58.160618,92.021497,0
86.280239,84.594065,2
61.25035,15.310468,0
89.211804,46.160418,2
18.458918,19.169116,0
14.505374,34.823929,0
29.076045,79.323162,2
88.412087,32.144448,1
32.520932,45.957277,0
21.501084,82.22585,2
31.557292,76.53199,2
64.178634,18.122875,0
94.800429,42.520192,2
63.43091,66.592645,2
99.662732,18.047137,1
90.344643,27.680255,1
26.16423,30.922339,0
72.754091,19.081391,1
24.973039,24.426861,1
61.678003,37.205187,1
36.958621,12.112575,2
42.810998,75.26921,2
49.231866,78.085079,2
26.145305,17.538581,1
98.104901,32.482114,2
64.6062,85.601976,0
57.917084,24.234076,0
49.39932,79.495385,2
79.986311,23.33895,1
76.852871,16.319459,1
68.669882,77.601023,0
53.015886,34.965661,1
37.739518,47.174398,1
62.228646,37.182462,1
84.348428,50.611296,2
85.136853,80.030715,2
47.174398,94.348795,0
31.834551,63.446234,0
50.711965,47.820806,1
13.947482,58.92633,2
44.211411,45.38987,1
43.045627,42.962224,1
14.632623,24.358197,0
97.724888,38.912195,2
23.856677,19.484356,0
96.622699,30.630665,2
37.3549,10.502166,2
68.561207,97.195093,0
14.146657,65.610514,2
15.536669,66.180755,2
87.531433,29.616869,1
70.514265,37.533174,1
52.044213,70.050886,2
90.553172,94.635677,2
93.477792,48.029921,2
18.360938,43.340448,2
43.878403,71.980069,2
99.312778,13.659718,1
22.766094,10.046538,1
54.731168,26.912426,0
23.90126,84.90167,2
92.755587,11.399026,1
21.933439,32.677728,0
77.1596,33.59442,1
68.170064,80.53893,0
43.079313,27.632626,0
44.638136,28.753436,0
20.269422,78.059295,2
24.946074,69.374639,0
20.261853,71.946961,2
57.660797,75.870844,2
52.703128,50.684938,1
41.448413,13.850184,2
65.992813,53.42953,2
71.563295,63.683815,2
89.96253,37.080718,1
23.783997,40.97951,0
90.215459,39.344709,2
87.296704,39.512308,1
14.671444,58.846176,2
76.933831,34.518846,1
33.150005,54.297666,1
23.801418,16.475975,1
86.32718,37.894044,1
52.300968,34.391297,1
25.742559,26.901114,0
62.711556,10.085108,1
58.994748,69.993089,2
75.166961,49.294816,1
50.505374,99.259294,0
66.044157,56.609277,2
72.418961,49.273534,1
36.232904,53.572695,1
72.803362,16.491457,1
61.725328,62.880477,2
62.093045,43.080565,1
67.089073,97.2727,0
24.524488,71.93678,2
91.029469,33.457743,2
51.203396,28.328094,0
31.391856,26.189842,0
60.936761,10.694274,1
71.696843,45.217431,1
47.556163,89.447217,0
81.529384,26.884192,1
88.598054,25.006412,1
41.568402,80.465489,0
63.858487,54.111298,2
18.593828,51.324801,2
81.22846,88.692938,2
79.299408,61.431019,1
36.56145,51.890448,1
16.405156,86.795156,2
69.452812,33.040584,1
61.982209,62.325122,2
30.431801,76.440727,2
80.675764,39.801194,1
68.070796,19.307032,0
18.144116,87.054438,2
79.255141,54.03825,1
51.864359,35.375134,1
25.164644,25.379494,0
32.457575,52.734449,1
35.553535,79.940396,0
18.221357,22.00275,0
30.032012,28.033159,0
24.139268,18.388444,0
61.954711,96.832258,0
55.389653,26.100148,0
62.983537,13.456826,0
15.831803,66.369357,2
63.908948,29.066603,1
42.559889,36.181182,0
81.646345,33.676813,1
96.74873,24.737862,2
15.091965,54.697177,2
58.066278,96.671193,0
41.90528,28.506929,0
23.953046,32.05744,0
43.123882,68.876755,1
56.136206,24.025907,0
89.793461,77.31082,2
79.445412,79.984283,2
18.676198,90.201413,2
26.484201,63.356153,0
79.06364,49.75361,1
22.453391,49.844675,2
29.743782,30.486924,0
57.638597,17.410048,0
72.260645,54.938753,1
53.985667,6.277163,1
87.715202,58.911926,2
16.05732,63.08292,2
66.044157,84.913916,0
55.929635,90.64978,0
77.740386,47.263336,1
94.348795,47.174398,2
78.458302,34.007699,1
67.068514,39.851867,1
82.347641,79.969975,2
54.471349,11.732578,1
88.798701,42.423283,1
81.148274,46.205521,2
85.816784,45.338931,2
71.169176,68.440448,2
28.304639,66.044157,0
68.423,33.689478,1
57.116303,48.524108,1
25.481815,63.205508,0
96.180255,4.752908,1
57.436896,71.967511,2
24.404215,77.993938,2
91.193239,6.353629,1
27.538474,29.424253,0
24.083822,21.229524,1
63.391711,81.401064,0
89.704526,80.354011,2
78.58805,71.929393,2
22.301572,89.950847,2
33.601313,7.915032,2
42.37475,30.093459,0
51.434934,77.504745,2
69.623525,33.345375,1
8.750039,5.508451,0
45.856609,78.560482,2
66.912499,15.054101,1
22.684973,70.445262,2
67.200711,85.745411,0
47.174398,84.913916,0
14.837563,71.265283,2
47.174398,75.479036,2
8.379457,14.438369,0
23.945383,47.400343,2
97.301441,6.631253,1
69.117892,13.806678,0
33.939231,90.54791,0
56.609277,28.304639,0
66.378916,97.192351,0
80.328981,73.581917,2
73.214368,20.669152,1
60.776967,22.674429,0
39.252394,13.327025,2
71.66958,18.650284,1
33.620541,87.852698,0
63.815923,54.964109,2
84.586514,77.333503,2
85.271066,79.806932,2
54.958686,29.001305,0
60.148171,42.677083,1
55.695405,78.137793,2
75.479036,37.739518,1
96.230776,14.584582,1
75.479036,18.869759,1
89.915369,32.950795,2
96.390544,48.531473,2
63.921049,21.58686,0
98.93506,22.738493,1
84.678346,33.438956,1
77.431392,57.096057,1
52.626307,39.495657,1
87.62258,73.029369,2
17.595763,42.025878,2
63.609186,17.332743,0
98.048983,15.092629,1
39.054159,35.553342,0
32.890401,37.581916,0
64.937294,96.753649,0
21.443296,64.178794,2
41.513778,69.567556,1
65.521677,32.363322,1
64.460713,20.041778,0
41.762963,79.529136,0
89.190042,51.992334,2
50.248186,32.110274,0
57.215432,3.799108,1
68.925159,10.538708,1
41.291646,4.626031,2
26.482625,59.924481,0
79.653956,57.438517,2
72.405546,46.103765,1
66.203104,38.102485,1
37.694344,52.766791,1
83.249259,88.61199,2
77.992397,43.175329,1
23.393552,75.915622,2
79.502453,54.557908,1
65.222582,54.038035,2
32.061351,55.964891,0
28.16432,4.179567,1
27.02866,22.939061,1
59.30384,16.537033,0
80.254048,96.322342,2
81.987832,54.373244,2
91.552416,21.077638,1
76.624757,73.615326,2
79.895648,73.206665,2
89.075853,14.947942,1
35.239777,70.012058,0
28.029718,46.59109,0
91.46643,8.200328,1
33.105317,60.972785,0
63.452846,71.708264,0
42.374237,79.613292,0
36.200233,45.492771,1
79.420236,89.888811,2
56.671161,5.59214,1
88.442239,47.487098,2
93.485141,11.716595,1
34.454479,86.382925,0
15.80399,42.941035,2
56.847648,44.390819,1
66.044157,66.044157,2
17.247614,69.743919,2
52.517283,42.750868,1
38.674377,60.722947,1
30.500426,50.229206,0
34.040732,89.658788,0
24.328783,63.425823,0
22.836513,84.102561,2
42.497004,52.974003,1
52.42136,16.987852,0
55.816158,99.448356,0
63.310401,25.920743,1
40.912385,61.344583,1
62.985759,30.670647,1
46.197794,22.845489,0
36.556535,55.769576,1
35.397995,34.645171,0
71.515294,80.45646,0
51.340506,24.035717,0
55.745769,94.557092,0
92.828652,28.203735,2
94.796149,42.957044,2
76.184071,50.869657,1
62.784826,85.800692,0
83.943298,72.678597,2
77.202622,58.042804,1
88.240617,47.827049,2
82.439153,95.731174,2
40.77476,85.826907,0
81.046562,82.203366,2
97.200636,39.138049,2
54.686879,91.353919,0
77.815721,52.208414,1
48.247695,84.130895,0
8.662146,9.703462,0
52.263783,24.940115,0
55.187443,79.720148,2
35.000998,47.452722,1
18.869759,18.869759,0
45.008296,71.977761,2
26.135012,51.94021,0
41.262136,65.662897,1
25.620414,76.993543,2
96.129687,17.785383,1
87.684869,49.622665,2
37.739518,37.739518,0
89.574882,74.184699,2
71.1374,78.538118,2
56.873903,74.940939,2
84.262643,52.00014,2
5.049783,13.116376,0
82.367137,95.506359,2
41.636649,32.691255,0
56.345791,17.367599,0
16.273015,42.566777,2
93.788197,10.352845,1
78.256773,13.588089,1
49.822603,50.658552,1
70.398352,39.969985,1
50.831891,31.466034,0
29.737421,30.088336,0
61.011172,60.257944,2
98.730961,34.149418,2
45.099205,48.15261,1
27.675251,60.350493,0
52.708197,29.376207,0
57.825211,48.396496,1
37.739518,66.044157,1
70.949151,74.847449,2
76.651902,41.173728,1
71.88844,72.196819,2
69.307525,55.632372,2
43.847417,30.101681,0
50.952309,49.842081,1
68.606619,76.65538,0
83.579924,95.563688,2
18.869759,37.739518,0
66.623763,59.675751,2
93.272265,9.024796,1
54.796445,79.19971,2
5.138794,52.625474,2
20.886815,66.964647,2
69.399549,78.116805,0
43.2731,45.012419,1
92.881806,16.8459,1
14.327966,56.976182,2
44.96793,76.318329,2
45.787089,97.129872,0
18.393567,43.403763,2
86.205769,97.331391,2
58.361484,8.561863,1
83.059513,90.985337,2
25.767071,52.340485,0
48.605785,90.765693,0
22.697502,53.005541,0
52.505174,84.023927,0
53.343483,7.176391,1
20.511846,65.396795,2
83.34917,52.882245,2
42.360467,12.289831,2
61.804172,87.46189,0
69.609046,64.597497,2
14.868634,79.712266,2
45.949783,85.988035,0
80.324211,89.788918,2
58.213214,73.80897,2
67.610164,76.573243,0
96.690743,37.455841,2
37.445916,78.861119,0
33.824952,82.978273,0
64.382318,89.796358,0
71.320021,76.702384,0
28.304639,47.174398,0
33.100685,51.219231,1
70.888892,9.460333,1
35.022461,58.061175,1
46.362584,79.942752,2
66.533265,21.443874,0
56.609277,18.869759,0
41.363521,70.740078,1
17.904575,46.96226,2
80.423976,33.03325,1
23.540202,46.472179,2
95.517779,51.63226,2
16.975527,41.108898,0
81.094701,42.472871,1
98.608745,12.058823,1
56.269148,38.272724,1
59.218371,37.241863,1
71.238168,31.418401,1
35.16996,49.115861,1
94.335261,23.994312,1
86.530724,52.066847,2
51.219441,89.287569,0
50.407386,90.185746,0
60.390822,95.777346,0
28.58541,80.378856,2
13.411061,71.203316,2
44.910533,43.235845,1
93.987563,30.764902,2
57.332137,72.120476,2
80.313199,95.268881,2
88.987154,89.889374,2
83.016988,94.876691,2
51.62151,47.633136,1
39.0507,70.805432,1
47.174398,28.304639,0
67.535842,38.554697,1
98.806157,26.222723,2
70.397649,62.008121,2
79.79407,70.711104,2
22.703022,26.746681,0
39.485654,9.716983,2
58.976429,90.580744,0
89.298566,24.592318,1
86.282541,54.238438,2
23.602515,74.573188,2
24.178685,63.707886,2
17.649211,64.53203,2
43.230199,71.508566,0
80.357517,70.50834,2
80.702745,31.452091,1
60.588138,10.405202,1
81.267325,30.10788,1
97.577516,44.637813,2
39.712052,32.886584,0
26.093844,63.618961,0
14.037623,24.208323,0
36.616676,69.468764,1
36.731742,41.931445,0
67.853008,63.434916,2
33.22932,88.431948,0
63.198111,5.195579,1
88.726003,50.735803,2
70.384756,74.930785,2
44.109677,93.230389,0
79.695288,34.531319,1
61.399452,37.502191,1
90.348363,41.843196,2
24.790686,56.987202,0
43.483546,99.215652,0
21.060312,17.141449,0
89.601763,42.188135,2
81.690731,52.137823,2
50.439474,33.95583,0
80.562547,61.552427,2
41.929213,65.267331,1
23.683733,5.103605,1
41.793462,84.089695,0
25.751105,56.326691,0
23.036986,24.125147,0
39.862524,60.145916,1
45.519704,94.91011,0
23.308463,38.855887,0
70.250501,58.62489,2
40.160505,83.278899,0
71.128746,25.111824,1
16.543149,41.788014,0
27.143573,60.415146,0
54.800653,79.956922,2
85.43984,34.689504,1
62.098502,78.129824,0
76.696123,44.651464,1
59.549896,27.658043,0
32.057614,74.810674,2
71.357495,5.065785,1
8.731518,59.593233,2
58.570612,17.88016,0
35.697799,5.73921,2
65.404125,68.029196,2
41.591267,86.16177,0
50.024103,89.064765,0
37.780589,54.00309,1
33.756132,66.837027,0
33.016612,45.123833,0
70.152769,13.98075,1
79.142209,22.077598,1
43.255845,83.608895,0
76.067672,58.433222,1
64.264451,66.679533,2
65.82883,22.101833,0
37.847306,80.942699,0
3.791729,14.08338,0
44.892721,24.496952,0
62.366218,89.853509,0
67.281097,67.752086,2
64.361264,39.200061,1
19.203009,21.360788,0
24.177486,37.518524,0
62.88824,96.265355,0
18.179172,71.701768,2
18.224974,79.648275,2
52.660155,4.060928,1
26.267391,64.263451,0
77.635113,15.00406,1
7.055501,6.809941,0
41.553555,51.123996,1
36.054872,52.529441,1
72.588327,52.614516,1
84.913916,28.304639,1
15.071814,52.445674,2
27.597733,5.946284,1
84.913916,47.174398,2
80.677307,22.826874,1
24.669958,8.987324,1
82.602928,85.795138,2
58.66326,42.887083,1
6.18508,14.9773,0
16.6641,88.361627,2
21.648719,32.2484,0
47.174398,47.174398,1
28.639713,76.492038,2
38.066902,87.44237,0
69.718966,59.245369,2
42.301956,67.896817,1
98.14357,23.107828,1
47.556774,49.330316,1
71.445309,11.845787,1
85.303386,88.702065,2
33.103449,61.352396,0
12.17776,56.434069,2
89.641782,29.754908,2
71.685478,25.484311,1
24.761241,45.882869,0
47.071325,81.475747,0
70.615359,42.611913,1
85.803814,31.740632,1
22.484913,17.687002,0
94.284712,15.540134,1
42.072477,51.668138,1
38.390751,69.963667,1
95.649225,45.507524,2
34.401917,75.176278,0
33.359063,63.629203,1
66.048006,60.145598,2
54.3819,23.79029,0
66.044157,9.43488,1
74.230277,59.267556,1
88.866155,79.713821,2
61.119357,89.46913,0
31.505718,7.000944,1
32.36634,6.151361,2
28.67482,66.331595,0
23.125143,62.653075,2
86.627635,43.661004,2
88.037458,35.078771,1
19.819335,67.912357,2
42.248075,12.574838,2
54.041743,99.941589,0
98.83004,28.72161,2
42.463067,72.393519,0
13.293857,40.011695,0
71.820453,49.668731,1
15.337536,46.31152,2
31.854285,21.809927,1
29.133921,57.288069,0
94.348795,9.43488,1
95.977278,48.437872,2
87.972441,83.412829,2
17.601269,21.881536,0
33.323125,21.152768,1
26.955523,44.083444,0
41.044142,12.214631,2
80.311952,23.630067,1
34.039784,72.3533,0
91.169176,39.346701,2
77.714234,23.063276,1
80.293482,27.805696,1
52.211555,44.278369,1
68.587682,13.245513,1
23.180134,31.034041,0
60.500416,64.784242,2
48.754584,87.051176,0
89.176876,48.998026,2
57.579887,52.775652,1
11.613125,51.141875,2
58.728708,24.196423,0
60.010239,36.701841,1
86.601885,34.817271,1
84.913916,94.348795,2
56.609277,47.174398,1
20.174412,83.423976,2
66.731426,20.487418,0
95.592754,29.253963,2
98.282129,34.58364,2
31.310297,44.619193,0
70.54557,4.147612,1
19.599997,88.778728,2
66.893713,4.471103,1
29.183185,27.202569,0
82.703837,95.645133,2
41.939669,80.51385,2
85.922639,72.135333,2
54.721181,24.8729,0
69.84268,96.66311,0
57.893023,13.589123,0
33.187842,83.531946,0
71.442596,82.20753,0
37.989212,42.314562,1
38.849186,71.071052,1
29.981353,3.983801,1
34.742736,78.927245,0
42.452561,81.102709,0
28.049732,32.870584,0
68.263303,27.226066,1
66.593064,63.382417,2
75.298895,14.233461,1
72.2564,71.93594,2
70.238717,94.09961,0
91.560097,44.715018,2
38.660359,40.651108,0
28.304639,18.869759,1
44.503465,86.557193,0
91.490075,32.389423,2
72.016748,71.878344,2
72.006876,14.020081,1
69.73103,41.682291,1
69.438135,83.196557,0
75.215604,57.467382,1
79.200492,52.83739,1
87.052398,43.155679,2
90.238116,98.052615,2
49.189767,25.830244,0
80.899672,61.877761,2
63.019181,81.07103,0
53.46713,73.682635,2
21.50134,79.111778,2
78.843225,43.336014,1
34.105484,56.729644,1
83.928547,30.308689,1
52.545244,99.684974,0
27.781635,78.504012,2
15.206029,36.562011,0
53.29649,72.471991,2
18.299456,40.779698,0
25.591184,79.538914,2
69.995722,60.749595,2
60.041489,43.239949,1
3.915622,14.354714,0
63.226949,80.65531,0
45.819172,86.88125,0
90.630579,52.37635,2
52.950919,35.22867,1
71.231471,34.957389,1
25.166463,12.653424,1
41.066316,54.395016,1
88.558458,84.691883,2
31.751377,53.738595,0
98.706312,32.12034,2
37.739518,84.913916,0
50.168718,94.185578,0
68.396044,56.176351,2
18.869759,84.913916,2
47.481039,25.302876,0
26.075121,60.842683,0
44.282958,70.471721,2
24.709376,18.07663,1
89.180968,37.161652,2
33.865121,38.142058,0
59.097786,43.113401,1
66.014908,55.924118,2
