Patrones: Espiral 2
Salidas: Rojo, Azul
Entradas: X, Y
330.06,7.03,0
341.77,23.26,0
479.92,772.24,1
464.11,770.27,1
448.81,765.51,1
406.09,726.49,1
430.96,791.10,1
401.40,786.50,1
427.12,739.02,1
433.02,734.92,1
441.71,772.39,1
426.05,745.08,1
435.71,797.63,1
420.55,732.20,1
407.72,772.94,1
458.43,744.90,1
405.08,761.47,1
403.99,750.83,1
444.41,703.64,1
462.77,714.42,1
262.71,52.70,0
299.43,25.31,0
253.92,13.82,0
253.91,29.88,0
293.53,7.16,0
263.37,18.30,0
260.20,11.41,0
267.71,16.56,0
280.59,25.79,0
253.76,42.62,0
276.61,36.22,0
257.97,8.21,0
272.58,36.62,0
268.74,13.22,0
267.73,42.24,0
257.69,60.23,0
283.63,44.83,0
278.16,9.75,0
507.50,727.48,1
513.96,739.03,1
505.58,732.88,1
503.90,733.58,1
500.88,728.85,1
502.12,743.30,1
515.15,728.14,1
509.43,745.83,1
490.54,735.48,1
247.60,68.52,0
203.86,106.24,0
222.60,96.93,0
182.35,85.39,0
233.44,50.86,0
231.37,74.55,0
213.35,112.42,0
190.21,70.83,0
195.04,78.28,0
236.96,96.68,0
231.89,36.77,0
262.89,66.04,0
200.47,83.59,0
200.19,39.67,0
227.21,80.05,0
257.09,61.17,0
215.77,80.71,0
240.76,50.70,0
204.13,45.67,0
238.35,38.00,0
178.96,77.09,0
201.49,85.23,0
207.66,58.38,0
214.29,24.24,0
238.75,24.90,0
192.41,74.12,0
232.54,81.38,0
216.44,72.89,0
222.73,72.09,0
219.93,110.68,0
176.75,52.90,0
560.42,757.25,1
513.43,725.09,1
573.52,688.43,1
562.88,710.77,1
574.03,740.45,1
568.62,728.12,1
546.95,721.99,1
539.00,745.75,1
582.35,693.80,1
580.62,681.55,1
557.81,717.83,1
553.71,725.18,1
565.16,710.60,1
514.86,691.85,1
585.45,698.57,1
564.97,747.71,1
559.41,665.89,1
546.99,740.33,1
579.99,724.86,1
170.13,91.16,0
170.80,81.75,0
174.27,89.85,0
158.86,78.33,0
604.21,660.17,1
599.67,678.58,1
616.98,678.22,1
593.99,681.47,1
586.72,669.53,1
593.04,677.89,1
586.50,668.89,1
599.82,657.32,1
599.33,687.19,1
171.22,147.87,0
141.35,124.25,0
118.00,130.25,0
131.30,136.10,0
149.74,140.94,0
114.23,138.96,0
157.06,116.04,0
119.66,144.43,0
124.71,155.08,0
127.69,96.34,0
129.73,116.17,0
112.33,120.24,0
142.37,162.08,0
159.79,96.91,0
116.96,134.05,0
158.88,149.35,0
123.56,99.31,0
126.02,105.49,0
636.64,635.70,1
640.17,665.25,1
639.63,669.48,1
653.18,630.74,1
632.45,648.89,1
627.88,648.87,1
654.79,638.13,1
622.99,647.32,1
641.44,645.62,1
646.15,645.37,1
635.78,632.04,1
651.26,665.55,1
640.21,662.92,1
654.95,634.64,1
640.41,658.54,1
630.32,623.07,1
634.47,676.33,1
606.46,647.39,1
616.98,665.39,1
615.43,663.23,1
628.39,657.82,1
608.83,646.33,1
102.07,152.32,0
99.15,157.16,0
104.58,179.53,0
88.20,177.36,0
110.32,150.33,0
113.95,162.26,0
94.90,187.76,0
104.63,152.85,0
82.72,158.92,0
661.49,614.72,1
659.94,610.93,1
684.77,573.71,1
654.92,608.22,1
646.32,602.05,1
671.36,610.13,1
645.02,619.81,1
672.42,562.92,1
641.19,606.76,1
666.67,595.88,1
641.36,601.82,1
671.86,571.91,1
639.19,601.43,1
683.12,617.11,1
688.95,579.31,1
666.20,599.41,1
54.50,215.83,0
67.99,223.54,0
114.53,202.13,0
81.01,261.12,0
93.92,219.99,0
60.67,197.97,0
50.71,254.59,0
87.15,227.78,0
89.88,189.74,0
55.70,207.45,0
94.10,199.33,0
87.70,225.50,0
61.30,195.54,0
91.71,220.67,0
95.24,272.10,0
70.86,266.89,0
92.08,218.16,0
56.63,235.47,0
113.75,246.79,0
693.25,576.99,1
680.25,547.96,1
694.08,581.85,1
718.58,528.36,1
687.12,555.52,1
674.99,554.35,1
700.62,538.85,1
696.35,529.37,1
722.26,558.92,1
705.02,552.72,1
678.90,563.86,1
702.81,553.96,1
711.67,580.67,1
714.26,547.53,1
684.36,532.92,1
714.33,564.23,1
708.24,530.61,1
698.42,554.30,1
691.59,547.03,1
691.16,573.16,1
684.96,566.21,1
685.65,572.58,1
80.57,294.04,0
65.46,284.05,0
62.06,283.86,0
51.83,292.28,0
60.57,279.35,0
62.01,278.93,0
73.01,289.24,0
64.07,295.57,0
66.71,276.41,0
77.19,298.48,0
712.58,512.39,1
712.11,484.05,1
728.98,485.51,1
705.55,521.27,1
709.96,520.18,1
718.63,499.87,1
704.53,519.94,1
689.16,491.84,1
716.85,499.32,1
16.99,317.74,0
21.84,324.74,0
56.39,301.13,0
64.99,337.08,0
29.89,338.57,0
16.81,325.39,0
33.00,305.43,0
25.55,322.27,0
52.53,313.76,0
80.87,326.48,0
46.97,317.37,0
22.75,322.09,0
63.88,373.54,0
76.88,327.44,0
86.17,356.22,0
82.55,331.02,0
46.17,298.92,0
57.45,351.44,0
57.35,302.23,0
64.39,332.06,0
703.14,467.45,1
718.88,452.22,1
712.15,430.95,1
710.76,471.91,1
739.61,461.58,1
736.08,431.83,1
714.34,425.64,1
758.62,455.18,1
749.82,433.36,1
743.79,431.92,1
703.69,475.51,1
692.45,444.22,1
756.17,431.69,1
708.11,439.78,1
728.40,464.21,1
740.65,413.35,1
707.43,454.55,1
734.49,468.52,1
747.45,448.07,1
692.03,437.44,1
708.54,444.96,1
738.62,450.58,1
754.97,438.64,1
59.39,391.43,0
55.45,409.09,0
64.57,376.98,0
49.93,395.75,0
45.53,394.07,0
60.78,396.02,0
49.98,405.76,0
49.08,392.18,0
75.98,401.03,0
44.41,403.40,0
702.84,393.35,1
749.25,419.81,1
754.23,415.89,1
699.09,401.79,1
709.04,357.89,1
746.88,359.10,1
765.62,388.17,1
742.10,359.96,1
756.83,404.65,1
723.23,356.09,1
725.53,364.88,1
712.43,383.29,1
719.20,408.98,1
709.96,389.75,1
727.58,362.56,1
705.97,396.02,1
714.97,385.07,1
702.95,367.48,1
760.66,398.64,1
740.22,387.83,1
720.23,353.89,1
749.67,375.37,1
758.03,387.00,1
689.50,397.86,1
61.72,430.59,0
48.32,446.48,0
88.27,416.89,0
92.28,411.60,0
69.96,457.53,0
92.80,451.76,0
84.16,465.12,0
92.98,446.92,0
92.77,408.55,0
25.68,435.40,0
69.12,414.69,0
22.60,444.44,0
98.62,438.80,0
100.64,423.06,0
30.23,448.69,0
49.42,423.96,0
75.97,424.70,0
49.47,430.45,0
97.84,420.36,0
699.17,339.03,1
710.34,332.72,1
709.04,349.59,1
714.34,346.47,1
714.67,338.27,1
703.62,329.10,1
703.51,334.12,1
707.79,337.69,1
696.05,330.47,1
667.88,262.85,1
714.93,274.81,1
728.65,285.00,1
687.61,268.52,1
677.08,331.01,1
715.63,324.95,1
690.68,315.95,1
689.71,325.68,1
665.08,287.79,1
696.64,293.94,1
670.21,291.57,1
660.75,269.57,1
692.23,322.93,1
675.38,273.32,1
704.45,304.31,1
700.52,264.65,1
706.64,291.73,1
697.60,272.41,1
643.48,278.93,1
690.94,292.09,1
646.55,300.11,1
670.69,278.70,1
726.83,309.70,1
728.39,282.48,1
641.03,296.35,1
711.97,325.71,1
90.08,521.05,0
68.26,533.77,0
86.04,533.72,0
66.25,511.87,0
66.79,521.37,0
98.41,492.64,0
71.05,514.24,0
79.13,520.00,0
87.17,505.48,0
90.56,533.01,0
99.14,495.84,0
81.56,546.12,0
106.66,526.45,0
101.04,495.55,0
73.32,541.91,0
104.81,534.38,0
124.36,517.30,0
99.16,546.20,0
160.85,562.44,0
118.96,544.82,0
158.32,589.76,0
90.40,583.89,0
141.85,593.56,0
149.74,589.78,0
134.80,572.76,0
108.19,596.04,0
124.83,560.38,0
140.21,606.54,0
99.51,571.42,0
161.00,566.15,0
99.39,586.19,0
139.57,598.67,0
102.51,599.27,0
136.41,545.92,0
148.87,611.50,0
167.25,579.46,0
145.64,564.86,0
627.41,178.56,1
653.49,224.29,1
623.60,194.60,1
632.72,166.83,1
652.90,182.94,1
658.07,170.03,1
648.68,191.44,1
616.05,174.38,1
642.34,163.18,1
637.63,226.71,1
646.99,169.18,1
654.00,161.88,1
619.24,189.71,1
618.94,208.54,1
654.90,230.86,1
624.35,232.40,1
671.13,189.92,1
627.91,202.07,1
633.04,168.66,1
196.66,602.93,0
167.47,591.53,0
162.90,600.68,0
188.51,608.64,0
185.45,598.39,0
172.99,579.26,0
181.54,598.65,0
602.83,138.98,1
599.96,140.28,1
602.79,147.58,1
617.36,141.02,1
595.78,146.30,1
588.02,145.42,1
614.01,165.95,1
602.44,168.21,1
594.34,144.59,1
609.16,137.50,1
613.56,158.61,1
605.08,137.13,1
176.87,642.92,0
179.43,630.02,0
197.25,630.56,0
198.90,599.55,0
205.68,600.78,0
181.89,625.83,0
231.58,599.59,0
219.08,619.06,0
190.90,631.42,0
214.67,590.33,0
213.10,589.21,0
204.43,608.51,0
211.80,606.87,0
565.06,122.17,1
555.61,141.91,1
555.62,170.13,1
543.46,141.19,1
576.43,143.00,1
584.85,130.59,1
564.87,120.13,1
572.94,137.28,1
553.38,154.98,1
577.31,136.42,1
573.65,137.67,1
577.06,168.21,1
541.66,154.68,1
571.23,136.20,1
588.29,143.28,1
591.54,141.10,1
530.04,130.68,1
483.71,99.70,1
528.52,106.16,1
509.02,108.10,1
501.27,107.41,1
532.49,144.37,1
543.32,128.29,1
509.86,140.61,1
500.92,138.19,1
533.60,114.49,1
508.22,91.06,1
510.54,131.01,1
490.34,98.52,1
495.89,120.51,1
481.99,118.52,1
504.33,137.01,1
506.06,144.88,1
489.21,106.73,1
304.61,617.97,0
295.07,688.18,0
295.78,623.86,0
310.28,672.05,0
327.53,660.09,0
308.91,630.64,0
273.55,649.34,0
284.35,693.13,0
253.80,659.58,0
308.45,634.84,0
256.65,680.67,0
288.68,666.01,0
277.83,703.32,0
281.17,631.16,0
304.24,663.72,0
260.30,651.88,0
301.95,676.34,0
299.65,665.84,0
477.67,102.57,1
467.95,114.52,1
480.42,107.82,1
480.61,114.25,1
470.79,94.54,1
474.04,115.40,1
468.34,108.63,1
474.44,106.60,1
344.83,669.83,0
349.40,656.30,0
348.70,673.21,0
359.33,672.89,0
356.57,656.00,0
362.81,660.91,0
354.18,655.83,0
346.79,676.70,0
437.11,74.90,1
416.61,86.10,1
460.27,86.17,1
427.94,91.28,1
469.39,90.22,1
461.04,72.16,1
457.61,100.73,1
411.42,114.04,1
445.93,74.79,1
424.53,98.79,1
445.30,70.65,1
455.87,105.41,1
423.82,102.93,1
431.29,105.75,1
385.95,663.05,0
403.07,643.11,0
387.93,634.44,0
405.61,662.87,0
354.91,649.10,0
381.10,640.63,0
396.18,678.00,0
367.16,638.56,0
358.87,684.72,0
393.10,671.19,0
388.70,677.17,0
358.12,644.83,0
394.77,115.71,1
367.22,90.12,1
394.48,90.35,1
380.45,103.73,1
372.98,94.36,1
374.50,81.38,1
376.59,112.47,1
376.85,101.96,1
397.73,87.21,1
375.15,87.16,1
387.31,97.00,1
320.87,126.02,1
317.94,101.60,1
340.57,123.11,1
331.23,94.03,1
361.52,115.62,1
360.24,103.21,1
335.08,97.71,1
311.25,118.09,1
314.83,118.40,1
355.63,110.13,1
338.67,118.70,1
314.40,107.62,1
349.62,95.44,1
445.91,669.84,0
465.18,628.39,0
473.92,601.40,0
425.78,645.76,0
439.18,644.07,0
502.99,656.84,0
491.36,611.94,0
469.03,667.90,0
482.70,620.03,0
489.59,668.01,0
448.59,608.07,0
474.15,675.55,0
454.76,626.19,0
499.25,627.18,0
471.09,650.73,0
456.15,622.68,0
438.05,633.42,0
305.58,100.37,1
302.29,119.33,1
305.86,101.12,1
315.48,128.00,1
296.99,118.32,1
299.52,99.78,1
311.02,108.07,1
297.43,104.71,1
518.78,626.75,0
507.70,620.11,0
526.01,636.39,0
520.03,638.89,0
529.97,623.42,0
520.68,632.99,0
521.09,625.01,0
514.53,616.91,0
264.35,143.93,1
291.24,128.48,1
262.37,112.07,1
239.35,161.28,1
233.06,129.71,1
223.00,133.57,1
235.85,128.88,1
250.83,132.72,1
255.21,133.31,1
234.07,163.21,1
252.33,130.66,1
270.98,108.26,1
232.67,175.10,1
235.07,148.30,1
237.11,127.24,1
279.80,120.32,1
267.87,128.45,1
290.04,166.65,1
286.01,116.03,1
546.44,624.74,0
514.23,593.19,0
544.18,619.18,0
506.83,590.98,0
538.59,608.50,0
518.77,576.73,0
515.85,591.70,0
534.14,606.09,0
539.24,581.22,0
539.84,573.53,0
549.43,620.86,0
557.44,589.46,0
532.11,624.84,0
527.50,599.59,0
523.21,574.89,0
526.44,590.03,0
541.44,601.15,0
549.52,608.51,0
536.09,620.22,0
223.83,184.21,1
218.01,172.16,1
176.32,218.28,1
199.61,204.88,1
190.64,165.87,1
177.67,215.49,1
232.16,178.77,1
207.29,187.15,1
188.47,209.98,1
212.45,169.23,1
173.96,219.91,1
208.84,232.97,1
207.12,192.09,1
215.70,176.42,1
224.39,223.34,1
235.63,190.56,1
214.94,184.08,1
571.93,546.45,0
571.25,543.37,0
600.33,526.57,0
603.96,557.97,0
612.89,508.02,0
554.44,535.54,0
582.21,545.50,0
603.20,547.12,0
610.67,502.16,0
585.19,531.82,0
593.35,495.74,0
556.98,544.53,0
551.11,518.53,0
570.42,519.58,0
580.85,560.35,0
587.74,564.47,0
600.99,548.07,0
602.96,547.61,0
595.20,552.72,0
567.64,514.55,0
591.86,540.43,0
590.07,551.10,0
161.54,265.44,1
161.72,248.42,1
158.66,268.67,1
140.97,271.06,1
151.76,276.79,1
185.57,241.60,1
170.27,275.91,1
139.27,253.94,1
162.35,288.45,1
152.48,230.89,1
143.17,265.84,1
192.97,249.33,1
131.40,272.45,1
175.75,230.22,1
126.05,262.09,1
126.27,249.46,1
150.69,237.47,1
154.35,274.94,1
152.55,247.63,1
164.50,267.31,1
146.79,244.36,1
148.93,225.88,1
150.51,254.90,1
176.41,250.71,1
146.16,248.61,1
599.18,432.97,0
638.62,455.19,0
627.28,459.70,0
595.58,467.98,0
604.28,436.62,0
625.07,434.72,0
648.25,470.42,0
600.67,481.60,0
592.59,452.55,0
614.39,458.17,0
623.73,468.69,0
608.14,466.01,0
609.66,494.29,0
597.94,440.49,0
623.10,457.94,0
610.25,458.50,0
593.62,456.26,0
589.72,467.48,0
643.02,458.11,0
618.80,479.21,0
617.77,466.37,0
591.69,454.83,0
606.89,443.91,0
618.71,450.29,0
132.86,288.43,1
138.36,296.75,1
131.61,300.38,1
134.14,306.35,1
143.21,297.76,1
134.93,303.04,1
143.32,306.62,1
138.78,299.99,1
133.83,306.04,1
616.73,414.76,0
622.17,409.45,0
616.47,417.13,0
608.06,421.11,0
611.16,412.79,0
616.49,410.63,0
617.70,419.52,0
138.51,324.82,1
147.90,356.15,1
132.48,305.50,1
116.35,347.85,1
150.12,345.78,1
164.58,378.49,1
177.95,371.45,1
131.48,366.71,1
124.32,344.03,1
147.26,343.93,1
112.35,331.38,1
147.45,346.75,1
126.64,376.85,1
153.84,334.36,1
148.73,355.68,1
172.82,361.98,1
159.16,305.27,1
120.23,328.22,1
137.75,315.66,1
163.24,365.81,1
151.84,339.09,1
615.88,405.57,0
610.78,383.51,0
620.27,383.77,0
607.39,390.84,0
619.93,406.49,0
617.09,386.17,0
614.71,403.18,0
629.07,397.87,0
617.98,387.31,0
597.64,367.95,0
631.06,355.00,0
607.83,339.12,0
623.28,353.94,0
622.58,333.04,0
611.11,327.72,0
632.22,341.49,0
600.28,375.43,0
615.47,362.91,0
597.90,364.80,0
613.93,323.74,0
604.58,343.92,0
603.44,359.12,0
625.43,321.27,0
638.99,362.84,0
586.97,355.33,0
608.00,378.86,0
600.64,326.96,0
606.94,325.38,0
596.73,331.41,0
616.50,336.68,0
158.25,396.72,1
138.65,425.01,1
167.46,397.20,1
165.55,391.69,1
174.57,418.99,1
155.16,437.98,1
180.87,403.85,1
137.81,412.01,1
159.30,440.92,1
144.49,391.97,1
172.65,390.32,1
181.80,394.69,1
157.26,426.58,1
166.28,440.30,1
157.05,390.58,1
150.01,384.90,1
184.33,421.02,1
185.98,399.95,1
162.99,407.56,1
190.14,413.31,1
602.43,309.53,0
599.07,312.41,0
590.87,309.41,0
597.82,310.66,0
598.42,314.29,0
607.17,318.22,0
601.89,309.80,0
586.93,320.95,0
601.69,311.24,0
181.71,441.79,1
179.17,438.59,1
176.00,442.40,1
169.69,443.45,1
169.11,442.77,1
600.68,294.46,0
575.72,309.13,0
566.55,270.97,0
590.97,304.37,0
601.97,269.77,0
578.45,295.86,0
578.08,258.27,0
596.37,264.60,0
597.84,282.17,0
596.88,293.20,0
562.30,299.17,0
564.99,302.17,0
590.25,294.94,0
600.84,298.26,0
594.84,295.34,0
206.98,492.94,1
175.98,488.01,1
184.38,485.33,1
179.99,474.18,1
169.51,470.96,1
199.98,473.01,1
184.51,496.95,1
173.17,459.80,1
182.08,458.85,1
178.60,466.59,1
553.89,254.97,0
554.49,259.39,0
558.48,255.26,0
557.17,260.41,0
562.95,264.78,0
568.99,258.14,0
563.32,252.25,0
570.52,259.60,0
229.82,499.56,1
236.64,511.68,1
220.65,516.66,1
213.90,488.84,1
227.47,520.22,1
220.44,512.75,1
230.14,518.61,1
233.03,489.64,1
552.53,215.99,0
559.69,244.95,0
519.65,205.96,0
560.58,251.89,0
563.51,211.51,0
540.12,234.52,0
518.42,230.63,0
548.56,200.56,0
516.19,214.16,0
525.98,224.62,0
571.29,215.49,0
557.52,231.68,0
540.25,243.31,0
529.63,243.75,0
509.97,220.09,0
526.25,230.66,0
547.93,244.69,0
520.23,205.10,0
518.86,235.29,0
550.30,251.11,0
542.81,238.34,0
515.97,221.08,0
534.64,251.34,0
237.61,539.65,1
228.44,540.19,1
217.32,542.16,1
236.38,530.19,1
237.49,544.29,1
214.92,531.91,1
226.50,521.76,1
236.43,541.70,1
216.00,549.02,1
229.49,538.64,1
230.36,522.54,1
510.23,218.09,0
507.56,221.03,0
503.86,218.80,0
495.54,210.66,0
495.68,222.03,0
495.43,224.23,0
508.05,214.86,0
260.15,541.24,1
261.69,545.25,1
260.23,542.03,1
259.34,550.40,1
269.20,544.58,1
256.33,546.50,1
263.90,548.67,1
446.27,194.43,0
485.45,190.68,0
497.44,207.45,0
472.92,189.24,0
495.14,199.57,0
449.81,196.83,0
447.05,221.95,0
480.60,194.89,0
458.98,216.76,0
485.59,193.91,0
444.54,198.27,0
300.46,599.80,1
308.69,566.58,1
299.37,592.14,1
312.41,588.17,1
304.62,555.22,1
267.57,554.27,1
278.98,539.76,1
287.03,549.73,1
268.17,585.10,1
295.37,577.42,1
302.63,548.47,1
