Patrones: Espiral 3
Salidas: Rojo, Azul, Verde
584.03,19.77,0
572.31,40.22,0
582.50,7.55,0
547.76,20.93,0
554.68,-8.56,0
583.21,38.36,0
583.74,30.15,0
554.98,39.10,0
587.54,11.17,0
599.07,37.60,0
575.38,10.03,0
551.65,23.22,0
545.26,41.55,0
555.12,36.96,0
585.21,36.56,0
587.94,24.02,0
568.62,44.21,0
-24.52,376.39,1
-36.26,382.46,1
-58.95,425.37,1
-22.42,375.21,1
-28.83,402.60,1
-39.67,388.14,1
-15.29,390.95,1
-15.60,421.04,1
-33.79,375.80,1
-13.78,391.79,1
-43.03,429.16,1
-34.22,387.10,1
-19.18,381.95,1
-53.86,423.18,1
-24.05,393.34,1
-17.55,411.58,1
-31.73,435.31,1
-11.64,390.71,1
-49.22,413.13,1
-53.57,416.32,1
613.27,703.58,2
614.31,686.18,2
634.57,759.74,2
611.72,720.71,2
653.52,732.93,2
581.44,722.74,2
661.97,738.32,2
640.90,746.75,2
619.29,702.28,2
584.26,723.63,2
609.96,720.80,2
609.97,693.61,2
621.33,774.88,2
607.90,748.21,2
601.39,687.51,2
653.41,739.18,2
611.80,726.53,2
627.79,777.81,2
597.35,740.86,2
579.45,767.21,2
640.75,752.64,2
623.21,703.76,2
621.97,731.58,2
626.51,780.33,2
567.50,729.56,2
631.06,764.53,2
630.64,703.96,2
618.55,761.15,2
624.01,692.68,2
581.27,696.90,2
615.33,707.90,2
588.62,733.90,2
593.10,740.28,2
510.11,-3.30,0
541.39,-56.11,0
491.40,-70.77,0
508.36,-40.01,0
518.79,5.45,0
545.00,-52.92,0
535.99,-8.82,0
515.49,-21.59,0
479.52,-7.88,0
561.21,-34.77,0
511.84,4.77,0
478.14,-43.31,0
545.73,-35.94,0
549.58,-11.33,0
551.10,-10.63,0
499.97,-38.73,0
544.34,-1.27,0
515.54,11.43,0
496.44,-23.21,0
530.74,-35.05,0
488.08,-50.45,0
519.70,-73.65,0
524.52,-5.35,0
505.85,-31.75,0
466.56,-26.33,0
528.59,-11.82,0
507.23,-65.30,0
537.55,-46.02,0
557.46,-30.16,0
-32.28,441.35,1
-30.45,495.01,1
-6.46,489.99,1
-31.61,446.46,1
-31.89,509.09,1
-45.87,458.28,1
-11.45,457.31,1
-41.64,438.62,1
24.23,482.22,1
5.00,495.97,1
-16.75,430.33,1
-56.09,435.38,1
-54.90,501.01,1
-10.73,497.48,1
-50.78,459.03,1
1.35,457.79,1
-14.77,467.64,1
-8.58,479.72,1
-19.24,436.34,1
-29.65,507.75,1
-35.75,466.46,1
-26.99,436.00,1
-13.28,499.73,1
-60.87,470.09,1
-47.70,450.97,1
-20.47,487.17,1
-39.97,480.69,1
-33.69,439.62,1
661.51,677.51,2
659.03,676.83,2
659.87,683.83,2
672.30,679.29,2
661.20,671.44,2
658.99,677.82,2
439.59,-19.42,0
455.23,-26.82,0
456.31,-22.50,0
428.06,-23.72,0
446.48,-44.47,0
449.76,-28.15,0
428.66,-33.86,0
450.74,-9.55,0
456.98,-51.73,0
467.26,-26.97,0
436.89,-29.74,0
-4.48,528.98,1
17.89,555.37,1
20.88,541.10,1
-5.28,516.45,1
-12.76,517.48,1
-0.93,545.84,1
9.48,565.36,1
-13.00,538.96,1
27.21,550.53,1
3.98,558.65,1
3.84,540.84,1
10.97,550.65,1
16.36,512.83,1
-19.11,531.16,1
22.94,559.96,1
-12.75,545.71,1
689.02,673.46,2
735.78,625.58,2
676.76,641.25,2
661.57,670.71,2
714.82,609.33,2
739.23,639.28,2
692.73,597.15,2
738.81,638.82,2
749.94,640.50,2
716.11,661.03,2
732.09,635.40,2
672.15,664.22,2
738.56,649.10,2
719.57,685.93,2
725.08,606.34,2
709.71,612.47,2
718.70,639.78,2
705.91,698.19,2
749.35,633.53,2
699.80,681.57,2
721.28,601.15,2
707.67,627.27,2
723.90,631.98,2
693.93,621.52,2
685.76,624.95,2
696.88,678.67,2
652.38,657.59,2
675.00,670.82,2
730.65,619.76,2
371.68,-27.90,0
401.35,-32.44,0
373.92,-1.23,0
383.32,-21.76,0
421.09,-39.12,0
419.03,-23.71,0
383.20,-29.01,0
423.23,1.87,0
411.04,-21.88,0
409.33,-33.60,0
426.78,-24.85,0
365.54,-10.47,0
384.65,-24.58,0
400.22,1.04,0
383.94,-11.28,0
399.75,-27.79,0
369.22,-42.47,0
18.61,564.00,1
50.24,557.77,1
48.04,614.30,1
69.97,590.02,1
68.36,584.88,1
42.85,629.47,1
49.93,612.22,1
60.07,616.20,1
32.02,617.47,1
22.44,594.53,1
31.02,573.67,1
26.94,565.97,1
43.60,587.37,1
30.25,591.47,1
13.31,566.38,1
75.13,585.15,1
17.46,614.44,1
732.90,578.28,2
735.59,607.31,2
731.06,561.15,2
730.15,585.66,2
770.24,579.61,2
735.04,546.98,2
757.67,567.28,2
750.44,606.86,2
728.56,556.56,2
728.09,561.91,2
741.26,590.95,2
747.36,602.90,2
743.83,554.60,2
741.03,572.86,2
727.54,563.30,2
726.06,563.00,2
727.99,603.91,2
755.27,587.66,2
291.89,-1.68,0
332.85,9.36,0
273.89,-17.63,0
295.83,-13.33,0
313.64,-52.35,0
285.58,15.35,0
287.14,7.24,0
277.30,13.71,0
317.03,11.97,0
316.86,-7.46,0
340.83,18.53,0
321.42,14.53,0
310.43,27.97,0
328.31,-37.49,0
354.32,-17.50,0
310.36,-43.65,0
357.17,-26.43,0
343.14,-2.84,0
341.81,-1.64,0
273.26,9.23,0
271.02,-1.37,0
328.34,-26.03,0
280.60,-24.90,0
311.85,-60.37,0
346.41,-39.99,0
303.77,-19.07,0
310.01,-20.95,0
281.47,17.80,0
281.26,11.02,0
346.19,10.46,0
351.27,-8.52,0
324.67,-26.86,0
97.13,619.93,1
74.71,609.90,1
93.00,616.44,1
73.14,623.18,1
88.80,626.56,1
72.62,627.50,1
78.20,633.27,1
755.98,543.89,2
740.31,522.96,2
741.46,523.89,2
734.01,513.57,2
740.03,516.41,2
740.14,546.45,2
753.43,511.93,2
763.80,529.09,2
740.72,540.34,2
143.00,650.00,1
118.34,681.51,1
120.79,712.27,1
149.96,677.22,1
102.29,670.14,1
128.38,625.31,1
129.73,673.77,1
164.92,693.73,1
92.28,690.67,1
139.31,662.42,1
119.76,714.66,1
124.42,639.72,1
136.48,627.87,1
100.94,684.59,1
138.44,702.70,1
169.80,655.49,1
93.04,635.96,1
134.78,670.57,1
142.92,709.69,1
160.17,683.25,1
75.63,655.06,1
133.18,716.37,1
118.50,689.85,1
144.98,648.38,1
158.00,638.12,1
119.91,699.31,1
123.87,652.50,1
748.89,440.35,2
777.92,494.74,2
800.67,459.37,2
786.11,487.13,2
723.37,464.86,2
794.98,484.23,2
770.56,457.48,2
743.62,508.89,2
721.66,483.28,2
746.66,495.12,2
781.63,506.98,2
801.28,487.45,2
793.35,471.92,2
764.27,479.38,2
799.41,469.23,2
243.82,28.35,0
229.32,67.36,0
214.78,43.57,0
187.33,47.76,0
194.43,57.67,0
220.63,65.87,0
205.44,1.43,0
218.87,22.68,0
251.28,14.74,0
220.86,11.51,0
206.69,30.21,0
198.70,63.02,0
232.15,67.37,0
248.51,21.64,0
214.95,15.68,0
228.40,0.70,0
237.93,59.67,0
206.79,27.92,0
221.34,36.68,0
230.31,-2.07,0
225.00,65.99,0
195.25,38.96,0
201.48,0.82,0
232.27,40.87,0
189.27,44.81,0
195.40,40.96,0
183.95,715.96,1
171.40,726.30,1
161.44,711.89,1
184.11,709.95,1
191.80,737.88,1
194.73,735.46,1
181.08,740.94,1
163.96,720.92,1
161.94,738.06,1
161.57,699.81,1
157.15,735.27,1
167.28,719.73,1
190.22,735.71,1
158.36,734.65,1
772.43,427.35,2
757.71,409.66,2
777.55,407.46,2
765.46,402.35,2
778.86,408.96,2
787.38,418.84,2
771.78,394.04,2
771.77,391.94,2
766.71,387.46,2
773.19,433.08,2
764.53,406.76,2
775.89,432.87,2
761.83,394.48,2
769.41,423.86,2
754.23,424.86,2
780.37,405.94,2
143.51,95.03,0
163.30,62.33,0
163.67,66.23,0
140.41,63.78,0
169.67,74.43,0
145.31,53.24,0
152.51,54.84,0
137.81,70.82,0
136.21,72.86,0
142.66,80.42,0
154.20,86.11,0
224.99,734.16,1
217.25,717.88,1
246.07,719.81,1
208.98,752.42,1
237.71,752.31,1
211.94,747.99,1
223.32,760.71,1
242.74,731.54,1
223.18,720.51,1
218.89,703.95,1
202.22,737.54,1
262.77,728.94,1
238.90,765.10,1
220.46,758.42,1
228.22,762.79,1
194.52,740.06,1
239.25,767.80,1
205.24,720.76,1
752.25,315.41,2
765.58,311.84,2
746.09,326.55,2
774.51,316.06,2
754.77,339.59,2
757.05,318.75,2
776.93,324.40,2
777.04,337.80,2
784.92,339.84,2
758.77,322.90,2
116.07,93.32,0
67.74,134.56,0
138.67,115.76,0
112.03,161.97,0
133.96,89.87,0
145.53,137.53,0
84.22,124.14,0
129.18,122.28,0
149.90,113.42,0
114.00,125.22,0
74.07,100.93,0
136.27,131.63,0
102.08,126.39,0
130.76,148.73,0
96.40,97.69,0
141.13,109.01,0
121.06,137.28,0
85.44,140.13,0
294.72,768.65,1
322.48,739.96,1
288.67,729.66,1
323.85,736.22,1
304.84,718.54,1
319.75,760.96,1
306.37,737.32,1
299.28,779.69,1
274.37,715.12,1
267.58,718.37,1
303.64,720.34,1
269.20,765.10,1
307.50,758.14,1
301.19,773.17,1
319.10,757.15,1
773.65,274.78,2
797.36,289.21,2
796.99,295.00,2
745.25,269.27,2
731.25,305.47,2
783.50,263.51,2
739.51,280.61,2
786.75,292.16,2
782.88,304.03,2
780.38,302.34,2
787.16,298.38,2
772.41,309.17,2
763.51,289.04,2
741.80,243.25,2
722.27,289.12,2
780.33,265.08,2
762.09,307.64,2
79.11,161.67,0
87.83,179.96,0
79.50,161.02,0
77.87,155.92,0
96.56,171.44,0
89.14,192.14,0
96.91,192.72,0
83.82,168.99,0
82.29,172.94,0
85.55,194.47,0
360.23,748.70,1
353.57,721.56,1
369.69,768.17,1
328.70,755.21,1
332.46,765.94,1
356.99,735.08,1
367.81,764.48,1
363.14,737.45,1
373.53,762.85,1
368.64,759.89,1
329.47,713.85,1
327.22,736.17,1
323.80,728.27,1
374.63,721.55,1
719.89,244.36,2
733.95,225.91,2
716.38,190.99,2
723.01,196.85,2
708.70,231.64,2
739.54,183.42,2
753.37,225.51,2
718.06,234.35,2
724.34,251.22,2
710.55,193.33,2
733.97,190.31,2
731.65,203.59,2
703.14,221.33,2
725.93,210.47,2
751.56,210.23,2
705.77,231.23,2
757.18,207.94,2
719.17,183.36,2
749.58,231.24,2
734.69,207.91,2
731.67,247.57,2
757.85,208.50,2
730.95,225.05,2
48.86,188.35,0
72.17,198.40,0
71.50,208.82,0
64.34,184.50,0
88.07,217.24,0
53.93,217.50,0
55.69,208.36,0
74.86,235.53,0
70.92,185.24,0
84.97,195.37,0
52.20,187.45,0
54.76,195.98,0
57.80,214.50,0
58.54,211.41,0
64.88,220.32,0
73.56,233.27,0
53.59,218.27,0
44.97,216.47,0
55.64,227.66,0
389.42,715.91,1
389.81,731.85,1
409.71,746.00,1
414.41,715.20,1
419.58,740.78,1
381.58,721.62,1
384.87,745.56,1
394.46,744.10,1
406.65,743.01,1
420.42,738.81,1
403.59,733.92,1
701.22,166.79,2
693.64,191.01,2
694.04,174.49,2
708.44,164.83,2
687.45,173.57,2
701.37,178.07,2
682.81,192.68,2
714.03,171.96,2
708.27,173.28,2
700.69,170.34,2
706.95,189.15,2
676.39,180.17,2
43.91,295.05,0
-5.06,279.68,0
79.72,281.12,0
51.44,307.51,0
59.37,254.70,0
56.03,237.29,0
74.87,269.26,0
-6.19,279.02,0
70.52,281.99,0
32.94,264.96,0
37.23,304.69,0
51.65,248.01,0
77.11,298.16,0
41.35,247.18,0
70.66,297.86,0
33.80,308.81,0
81.32,302.74,0
28.09,280.36,0
60.56,308.33,0
24.54,275.97,0
26.32,239.05,0
22.45,239.54,0
484.73,748.94,1
449.77,751.18,1
466.93,732.47,1
455.64,753.86,1
441.86,724.63,1
447.24,750.38,1
449.51,718.34,1
432.64,726.94,1
473.17,739.89,1
447.48,716.20,1
443.76,733.27,1
439.84,750.31,1
443.91,727.05,1
630.87,141.14,2
690.24,136.67,2
657.08,123.10,2
675.36,138.46,2
627.41,155.39,2
684.02,147.43,2
666.08,173.39,2
681.65,119.85,2
660.12,116.36,2
680.80,132.88,2
686.06,121.77,2
653.40,128.41,2
649.73,139.45,2
650.65,126.21,2
680.47,148.35,2
672.08,113.10,2
648.22,171.43,2
653.91,122.33,2
29.07,332.96,0
31.70,327.38,0
43.20,348.58,0
18.94,354.43,0
19.28,329.18,0
37.61,351.57,0
43.81,337.33,0
26.80,337.47,0
54.72,336.54,0
28.58,350.54,0
17.71,331.85,0
522.05,719.73,1
496.74,703.95,1
542.11,710.59,1
493.67,733.66,1
488.45,718.95,1
526.17,736.02,1
482.01,714.76,1
542.48,716.20,1
513.06,749.68,1
495.22,721.69,1
503.53,709.90,1
532.24,744.47,1
522.27,735.20,1
528.15,705.13,1
468.60,704.51,1
505.97,684.58,1
502.21,700.03,1
500.54,693.55,1
510.16,735.03,1
505.63,753.80,1
539.27,716.61,1
523.93,695.60,1
481.73,725.77,1
501.84,711.39,1
521.38,688.31,1
588.50,105.54,2
621.62,113.00,2
597.30,139.11,2
621.79,86.52,2
596.76,131.56,2
610.04,125.40,2
612.56,83.43,2
578.05,98.70,2
614.52,104.26,2
586.70,116.94,2
602.55,129.04,2
591.61,101.07,2
566.17,112.77,2
573.08,108.23,2
591.59,123.90,2
595.28,135.54,2
589.67,91.93,2
621.26,122.65,2
615.54,132.56,2
618.60,105.34,2
586.66,121.64,2
588.02,84.52,2
604.19,125.91,2
31.54,394.24,0
43.04,420.08,0
43.40,371.52,0
38.74,362.88,0
44.20,366.91,0
40.91,373.58,0
22.70,425.23,0
26.06,405.23,0
12.80,409.97,0
54.08,407.36,0
13.88,414.27,0
4.72,386.55,0
34.80,397.64,0
33.82,363.04,0
68.94,403.64,0
68.73,387.07,0
33.18,367.03,0
40.46,397.95,0
19.57,362.00,0
47.39,416.02,0
52.82,408.93,0
27.77,395.63,0
552.64,709.02,1
538.67,662.02,1
536.30,694.25,1
542.86,676.58,1
520.66,674.68,1
568.72,650.27,1
557.30,669.84,1
572.41,707.38,1
566.10,710.74,1
546.96,691.56,1
557.39,644.49,1
582.82,683.45,1
567.72,685.28,1
558.54,79.30,2
563.37,56.65,2
572.35,78.83,2
560.09,64.37,2
542.93,68.18,2
539.17,55.51,2
565.50,82.08,2
531.56,78.23,2
564.84,88.85,2
543.47,67.23,2
569.50,61.86,2
542.53,60.50,2
557.42,99.80,2
563.69,60.89,2
568.29,72.49,2
545.25,59.15,2
546.82,69.64,2
45.74,437.41,0
41.10,431.98,0
50.22,440.36,0
39.37,441.42,0
45.35,446.13,0
39.89,435.36,0
51.83,447.27,0
52.17,450.11,0
50.71,441.40,0
41.13,450.66,0
617.20,645.31,1
626.27,643.73,1
619.49,660.08,1
630.25,648.77,1
608.95,665.72,1
598.58,662.31,1
615.41,650.73,1
620.01,661.56,1
610.53,652.21,1
506.94,72.04,2
494.47,51.93,2
503.01,69.92,2
488.14,64.89,2
522.25,72.99,2
495.34,79.50,2
498.46,83.24,2
525.33,84.15,2
523.50,58.18,2
89.49,465.60,0
73.39,465.04,0
76.84,449.23,0
55.51,449.88,0
72.23,497.09,0
36.71,456.63,0
46.04,490.87,0
41.58,508.44,0
55.01,511.23,0
41.25,475.91,0
49.27,483.99,0
92.71,501.30,0
65.34,463.59,0
89.84,475.90,0
73.27,471.72,0
89.96,463.61,0
66.13,485.46,0
39.05,498.65,0
42.54,468.01,0
53.16,467.01,0
83.34,479.09,0
606.80,627.62,1
627.87,631.63,1
644.33,632.37,1
615.65,591.31,1
636.23,598.22,1
606.03,607.43,1
617.75,603.16,1
633.48,618.81,1
618.45,635.27,1
626.24,620.69,1
485.82,71.77,2
472.00,18.45,2
465.68,25.47,2
441.97,33.80,2
432.13,76.06,2
487.03,34.83,2
465.92,78.15,2
469.25,23.46,2
477.95,69.57,2
454.28,80.45,2
480.27,75.64,2
485.97,47.95,2
420.12,44.59,2
479.28,45.06,2
459.87,87.34,2
487.87,70.72,2
422.05,69.59,2
419.49,49.43,2
459.13,31.10,2
466.75,66.95,2
474.69,22.62,2
464.44,38.36,2
452.44,70.61,2
85.67,526.98,0
105.27,520.20,0
96.07,533.37,0
88.66,528.93,0
106.94,519.93,0
110.29,521.91,0
649.65,542.88,1
682.94,571.67,1
641.17,591.33,1
661.13,553.37,1
641.46,549.01,1
666.91,596.06,1
634.93,574.56,1
671.56,561.38,1
669.50,540.63,1
671.33,587.63,1
684.70,563.63,1
668.61,595.00,1
633.51,580.98,1
653.35,591.08,1
403.65,62.75,2
394.18,67.86,2
382.85,68.47,2
397.06,58.60,2
405.17,63.89,2
388.82,69.87,2
392.84,55.44,2
107.82,533.58,0
130.07,556.38,0
90.68,562.88,0
149.44,565.44,0
126.46,566.14,0
92.19,548.71,0
106.84,551.10,0
124.20,574.86,0
148.91,570.32,0
130.71,559.12,0
104.42,557.65,0
115.81,567.46,0
102.93,593.52,0
146.60,578.84,0
139.60,544.92,0
109.22,553.32,0
92.76,580.88,0
99.40,538.28,0
674.00,494.95,1
657.47,521.26,1
682.38,487.09,1
657.28,491.90,1
644.52,501.99,1
685.47,532.24,1
653.86,516.94,1
696.54,524.67,1
653.23,542.29,1
657.93,495.87,1
695.25,502.64,1
697.50,531.67,1
692.56,507.61,1
375.99,23.72,2
340.96,63.03,2
369.79,49.57,2
385.25,72.14,2
328.25,69.85,2
347.64,79.70,2
343.21,28.61,2
358.37,22.34,2
321.36,48.00,2
357.15,80.43,2
348.12,20.61,2
334.43,38.47,2
362.52,85.20,2
357.80,53.21,2
375.87,51.53,2
324.17,53.13,2
335.95,57.60,2
369.26,70.51,2
174.23,597.71,0
179.87,608.87,0
144.72,612.79,0
189.19,595.34,0
157.63,598.03,0
148.85,581.91,0
160.15,597.10,0
153.96,598.52,0
164.02,622.56,0
174.13,582.57,0
163.70,589.96,0
168.01,625.62,0
180.78,588.61,0
156.25,607.49,0
151.09,581.96,0
145.88,599.29,0
162.80,598.73,0
167.42,621.22,0
142.31,606.84,0
150.17,611.94,0
160.62,615.44,0
288.12,65.77,2
296.10,67.00,2
288.81,64.14,2
296.31,79.81,2
286.97,73.84,2
290.62,83.32,2
280.80,72.11,2
300.83,75.12,2
203.20,616.84,0
198.62,624.79,0
221.66,636.34,0
211.07,615.94,0
191.37,624.75,0
186.25,614.66,0
192.00,609.08,0
213.65,610.70,0
215.86,639.16,0
202.16,613.89,0
190.21,617.22,0
192.18,627.71,0
203.34,631.22,0
215.39,603.78,0
189.44,605.03,0
225.21,623.28,0
198.09,621.98,0
694.42,433.96,1
714.72,447.50,1
681.41,410.13,1
690.45,437.34,1
734.36,426.46,1
694.72,416.73,1
702.84,449.87,1
720.74,452.76,1
680.47,397.47,1
677.76,382.78,1
749.27,411.93,1
729.76,436.66,1
712.87,452.83,1
711.00,407.19,1
677.95,401.75,1
696.37,454.60,1
742.87,437.97,1
736.96,428.00,1
712.28,408.42,1
707.70,427.55,1
748.49,416.53,1
675.41,441.09,1
690.63,395.08,1
714.81,450.04,1
675.51,418.37,1
742.41,409.97,1
715.16,427.02,1
709.55,447.21,1
272.28,69.79,2
278.65,82.79,2
281.45,93.99,2
254.78,72.68,2
265.86,80.98,2
281.40,75.94,2
278.49,70.66,2
261.01,69.54,2
284.04,103.40,2
259.23,79.26,2
272.97,92.41,2
281.89,91.40,2
257.92,659.52,0
258.55,660.70,0
231.40,648.29,0
229.51,668.61,0
244.57,650.71,0
235.50,649.62,0
226.88,670.93,0
233.79,633.76,0
233.23,658.45,0
195.84,118.70,2
232.10,103.50,2
189.72,128.36,2
226.51,135.54,2
242.96,111.97,2
204.02,109.55,2
189.59,115.74,2
199.28,135.00,2
239.54,124.31,2
236.94,97.86,2
212.99,83.29,2
216.23,96.85,2
216.83,114.18,2
217.21,85.86,2
207.74,117.58,2
199.83,93.76,2
205.20,98.53,2
231.68,129.73,2
252.05,672.22,0
260.84,691.99,0
292.50,695.02,0
267.35,658.79,0
257.58,699.31,0
293.49,666.81,0
258.22,673.98,0
270.35,688.44,0
292.97,671.81,0
283.25,703.95,0
282.84,665.64,0
291.32,699.12,0
284.22,694.30,0
265.79,673.31,0
305.91,676.52,0
259.27,687.13,0
283.47,661.21,0
276.13,685.64,0
293.04,702.19,0
283.62,654.13,0
696.39,321.21,1
717.37,312.36,1
691.49,302.23,1
686.38,305.69,1
685.01,362.26,1
657.16,314.78,1
688.47,323.84,1
697.91,343.75,1
655.07,338.19,1
